versione 1.0 (con cast)
 
 delta T = 0.005710s, MSE = 0.00000000000001452136175, epsilon = 0.001

 delta T = 0.003620s, MSE = 0.00000000000000244953924, epsilon = 0.001
 delta T = 0.003230s, MSE = 0.00000000000000273754357, epsilon = 0.001
 delta T = 0.003650s, MSE = 0.00000000000000305120559, epsilon = 0.001
 delta T = 0.002860s, MSE = 0.00000000000000287750624, epsilon = 0.001
 delta T = 0.002870s, MSE = 0.00000000000000275468900, epsilon = 0.001
 delta T = 0.002930s, MSE = 0.00000000000000286103589, epsilon = 0.001
 delta T = 0.002920s, MSE = 0.00000000000000283521473, epsilon = 0.001
 delta T = 0.002910s, MSE = 0.00000000000000305796279, epsilon = 0.001
 delta T = 0.002870s, MSE = 0.00000000000000261434242, epsilon = 0.001
 delta T = 0.002920s, MSE = 0.00000000000000253922393, epsilon = 0.001

 delta T = 0.003430s, MSE = 0.00000000000000244953924, epsilon = 0.001
 delta T = 0.003300s, MSE = 0.00000000000000273754357, epsilon = 0.001
 delta T = 0.003160s, MSE = 0.00000000000000305120559, epsilon = 0.001
 delta T = 0.002890s, MSE = 0.00000000000000287750624, epsilon = 0.001
 delta T = 0.002930s, MSE = 0.00000000000000275468900, epsilon = 0.001
 delta T = 0.002940s, MSE = 0.00000000000000286103589, epsilon = 0.001
 delta T = 0.002960s, MSE = 0.00000000000000283521473, epsilon = 0.001
 delta T = 0.002930s, MSE = 0.00000000000000305796279, epsilon = 0.001
 delta T = 0.002880s, MSE = 0.00000000000000261434242, epsilon = 0.001
 delta T = 0.002890s, MSE = 0.00000000000000253922393, epsilon = 0.001

 delta T = 0.003450s, MSE = 0.00000000000000244953924, epsilon = 0.001
 delta T = 0.003340s, MSE = 0.00000000000000273754357, epsilon = 0.001
 delta T = 0.003160s, MSE = 0.00000000000000305120559, epsilon = 0.001
 delta T = 0.002900s, MSE = 0.00000000000000287750624, epsilon = 0.001
 delta T = 0.002890s, MSE = 0.00000000000000275468900, epsilon = 0.001
 delta T = 0.002900s, MSE = 0.00000000000000286103589, epsilon = 0.001
 delta T = 0.002960s, MSE = 0.00000000000000283521473, epsilon = 0.001
 delta T = 0.002880s, MSE = 0.00000000000000305796279, epsilon = 0.001
 delta T = 0.003010s, MSE = 0.00000000000000261434242, epsilon = 0.001
 delta T = 0.002900s, MSE = 0.00000000000000253922393, epsilon = 0.001

 delta T = 0.003270s, MSE = 0.00000000000000244953924, epsilon = 0.001
 delta T = 0.003200s, MSE = 0.00000000000000273754357, epsilon = 0.001
 delta T = 0.003300s, MSE = 0.00000000000000305120559, epsilon = 0.001
 delta T = 0.002870s, MSE = 0.00000000000000287750624, epsilon = 0.001
 delta T = 0.002930s, MSE = 0.00000000000000275468900, epsilon = 0.001
 delta T = 0.002870s, MSE = 0.00000000000000286103589, epsilon = 0.001
 delta T = 0.002940s, MSE = 0.00000000000000283521473, epsilon = 0.001
 delta T = 0.002900s, MSE = 0.00000000000000305796279, epsilon = 0.001
 delta T = 0.002860s, MSE = 0.00000000000000261434242, epsilon = 0.001
 delta T = 0.002850s, MSE = 0.00000000000000253922393, epsilon = 0.001

 delta T = 0.003120s, MSE = 0.00000000000000436311626, epsilon = 0.001
 delta T = 0.003120s, MSE = 0.00000000000000429459850, epsilon = 0.001
 delta T = 0.003280s, MSE = 0.00000000000000497933443, epsilon = 0.001
 delta T = 0.002690s, MSE = 0.00000000000000429631797, epsilon = 0.001
 delta T = 0.002720s, MSE = 0.00000000000000460278212, epsilon = 0.001
 delta T = 0.002820s, MSE = 0.00000000000000437443516, epsilon = 0.001
 delta T = 0.002700s, MSE = 0.00000000000000446502915, epsilon = 0.001
 delta T = 0.002680s, MSE = 0.00000000000000484057222, epsilon = 0.001
 delta T = 0.002650s, MSE = 0.00000000000000460067893, epsilon = 0.001
 delta T = 0.002900s, MSE = 0.00000000000000403079517, epsilon = 0.001

 delta T = 0.006350s, MSE = 0.00000000000001281323172, epsilon = 0.001
 delta T = 0.006820s, MSE = 0.00000000000001242320777, epsilon = 0.001
 delta T = 0.005690s, MSE = 0.00000000000001252904962, epsilon = 0.001
 delta T = 0.005670s, MSE = 0.00000000000001231624191, epsilon = 0.001
 delta T = 0.005700s, MSE = 0.00000000000001081053836, epsilon = 0.001
 delta T = 0.005710s, MSE = 0.00000000000001204647801, epsilon = 0.001
 delta T = 0.005900s, MSE = 0.00000000000001256453437, epsilon = 0.001
 delta T = 0.005690s, MSE = 0.00000000000001122386079, epsilon = 0.001
 delta T = 0.005680s, MSE = 0.00000000000001073976791, epsilon = 0.001
 delta T = 0.005660s, MSE = 0.00000000000001452136175, epsilon = 0.001

 delta T = 0.003060s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.003040s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.003090s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002710s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002760s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002730s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002720s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002810s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002710s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002770s, MSE = 0.00000000000000000000000, epsilon = 0.0001

 delta T = 0.003230s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002960s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.003060s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002810s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002870s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002750s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002720s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002860s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.002730s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.003100s, MSE = 0.00000000000000000000000, epsilon = 0.0001

 delta T = 0.003050s, MSE = 0.00000000000000436311626, epsilon = 0.001
 delta T = 0.002980s, MSE = 0.00000000000000429459850, epsilon = 0.001
 delta T = 0.003090s, MSE = 0.00000000000000497933443, epsilon = 0.001
 delta T = 0.002660s, MSE = 0.00000000000000429631797, epsilon = 0.001
 delta T = 0.002710s, MSE = 0.00000000000000460278212, epsilon = 0.001
 delta T = 0.002670s, MSE = 0.00000000000000437443516, epsilon = 0.001
 delta T = 0.002740s, MSE = 0.00000000000000446502915, epsilon = 0.001
 delta T = 0.002670s, MSE = 0.00000000000000484057222, epsilon = 0.001
 delta T = 0.002630s, MSE = 0.00000000000000460067893, epsilon = 0.001
 delta T = 0.002700s, MSE = 0.00000000000000403079517, epsilon = 0.001

 delta T = 0.003300s, MSE = 0.00000000000000244953924, epsilon = 0.001
 delta T = 0.003220s, MSE = 0.00000000000000273754357, epsilon = 0.001
 delta T = 0.003370s, MSE = 0.00000000000000305120559, epsilon = 0.001
 delta T = 0.002880s, MSE = 0.00000000000000287750624, epsilon = 0.001
 delta T = 0.002890s, MSE = 0.00000000000000275468900, epsilon = 0.001
 delta T = 0.003190s, MSE = 0.00000000000000286103589, epsilon = 0.001
 delta T = 0.002960s, MSE = 0.00000000000000283521473, epsilon = 0.001
 delta T = 0.002860s, MSE = 0.00000000000000305796279, epsilon = 0.001
 delta T = 0.002850s, MSE = 0.00000000000000261434242, epsilon = 0.001
 delta T = 0.002910s, MSE = 0.00000000000000253922393, epsilon = 0.001

 delta T = 0.006350s, MSE = 0.00000000000001281323172, epsilon = 0.001
 delta T = 0.006850s, MSE = 0.00000000000001242320777, epsilon = 0.001
 delta T = 0.005780s, MSE = 0.00000000000001252904962, epsilon = 0.001
